Last Name,First Name,GPA,Selected Partner?,Project 1,Project 2,Project 3,Project 4,Project 6,Project 7,Project 8,Project 9,Project 10,Project 11,Project 12,Project 13,Project 14,Project 15,Project 16,Project 17,Project 18,Project 19,Project 20,Project 21,Project 22,Project 23,Project 24,Project 25,Project 26,Project 27,Project 28,Partner Last,Partner First,Partner GPA,User Major,Partner Major
last_name_73,first_name_73,3.94,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,5,4,partner_last_name_25,partner_first_name_25,3.52,Engineering Mechanics,Engineering Mechanics
last_name_74,first_name_74,3.24,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,4,0,0,0,3,3,4,,,,Mechanical Engineering,
last_name_75,first_name_75,3.25,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,5,0,3,0,2,4,1,partner_last_name_26,partner_first_name_26,3.39,Mechanical Engineering,Mechanical Engineering
last_name_76,first_name_76,3.28,0,1,0,0,5,4,0,3,4,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Mechanical Engineering,
last_name_77,first_name_77,3.11,0,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,4,0,0,0,0,0,,,,Mechanical Engineering,
last_name_78,first_name_78,3.41,0,0,0,0,0,2,0,0,0,0,4,5,0,0,0,0,0,0,2,2,4,0,0,0,0,0,2,3,,,,Mechanical Engineering,
last_name_79,first_name_79,3.9,0,2,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,1,2,1,3,0,0,0,5,0,,,,Mechanical Engineering,
last_name_80,first_name_80,3.3,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,5,0,1,0,2,0,5,,,,Mechanical Engineering,
last_name_81,first_name_81,3.57,1,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,2,3,2,0,0,0,0,0,4,2,0,1,partner_last_name_27,partner_first_name_27,3.75,Engineering Mechanics,Engineering Mechanics
last_name_82,first_name_82,3.25,0,0,0,4,0,4,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,5,1,0,0,0,3,0,,,,Mechanical Engineering,
